,State,Year,Type of power,growthRate,capacity
489,Delhi,2009,Wind Power,4180.0,0.0
490,Delhi,2010,Bio-Mass Power,765.89,0.0
491,Delhi,2010,Small Hydro Power,765.89,0.0
492,Delhi,2010,Solar Power,765.89,2.14
493,Delhi,2010,Waste to Energy,765.89,0.0
494,Delhi,2010,Wind Power,765.89,0.0
495,Delhi,2011,Bio-Mass Power,0.14,0.0
496,Delhi,2011,Small Hydro Power,0.14,0.0
497,Delhi,2011,Solar Power,0.14,2.53
498,Delhi,2011,Waste to Energy,0.14,16.0
499,Delhi,2011,Wind Power,0.14,0.0
500,Delhi,2012,Bio-Mass Power,13.98,0.0
501,Delhi,2012,Small Hydro Power,13.98,0.0
502,Delhi,2012,Solar Power,13.98,2.56
503,Delhi,2012,Waste to Energy,13.98,16.0
504,Delhi,2012,Wind Power,13.98,0.0
505,Delhi,2013,Bio-Mass Power,64.11,0.0
506,Delhi,2013,Small Hydro Power,64.11,0.0
507,Delhi,2013,Solar Power,64.11,5.15
508,Delhi,2013,Waste to Energy,64.11,16.0
509,Delhi,2013,Wind Power,64.11,0.0
510,Delhi,2014,Bio-Mass Power,41.07,0.0
511,Delhi,2014,Small Hydro Power,41.07,0.0
512,Delhi,2014,Solar Power,41.07,5.47
513,Delhi,2014,Waste to Energy,41.07,16.0
514,Delhi,2014,Wind Power,41.07,0.0
515,Delhi,2015,Bio-Mass Power,85.83,0.0
516,Delhi,2015,Small Hydro Power,85.83,0.0
517,Delhi,2015,Solar Power,85.83,14.28
518,Delhi,2015,Waste to Energy,85.83,16.0
519,Delhi,2015,Wind Power,85.83,0.0
520,Delhi,2016,Bio-Mass Power,0.0,0.0
521,Delhi,2016,Small Hydro Power,0.0,0.0
522,Delhi,2016,Solar Power,0.0,40.27
523,Delhi,2016,Waste to Energy,0.0,16.0
524,Delhi,2016,Wind Power,0.0,0.0
525,Delhi,2017,Bio-Mass Power,47.15,0.0
526,Delhi,2017,Small Hydro Power,47.15,0.0
527,Delhi,2017,Solar Power,47.15,69.57
528,Delhi,2017,Waste to Energy,47.15,52.0
529,Delhi,2017,Wind Power,47.15,0.0
530,Delhi,2018,Bio-Mass Power,21.39,0.0
531,Delhi,2018,Small Hydro Power,21.39,0.0
532,Delhi,2018,Solar Power,21.39,126.89
533,Delhi,2018,Waste to Energy ,21.39,52.0
534,Delhi,2018,Wind Power,21.39,0.0
535,Delhi,2019,Bio-Mass Power,12.8,0.0
536,Delhi,2019,Small Hydro Power,12.8,0.0
537,Delhi,2019,Solar Power,12.8,165.16
538,Delhi,2019,Waste to Energy ,12.8,52.0
539,Delhi,2019,Wind Power,12.8,0.0
540,Delhi,2020,Bio-Mass Power,9.61,0.0
541,Delhi,2020,Small Hydro Power,9.61,0.0
542,Delhi,2020,Solar Power,9.61,194.43
543,Delhi,2020,Waste to Energy ,9.61,52.0
544,Delhi,2020,Wind Power,9.61,0.0
545,Delhi,2021,Bio-Mass Power,9.61,0.0
546,Delhi,2021,Small Hydro Power,9.61,0.0
547,Delhi,2021,Solar Power,9.61,211.12
548,Delhi,2021,Waste to Energy ,9.61,59.0
549,Delhi,2021,Wind Power,9.61,0.0
550,Rajasthan,2006,Bio-Mass Power,0.0,23.3
551,Rajasthan,2006,Small Hydro Power,0.0,23.85
552,Rajasthan,2006,Solar Power,0.0,0.15
553,Rajasthan,2006,Waste to Energy,0.0,0.0
554,Rajasthan,2006,Wind Power,0.0,469.8
555,Rajasthan,2007,Bio-Mass Power,35.42,23.3
556,Rajasthan,2007,Small Hydro Power,35.42,23.85
557,Rajasthan,2007,Solar Power,35.42,0.15
558,Rajasthan,2007,Waste to Energy,35.42,0.0
559,Rajasthan,2007,Wind Power,35.42,538.8
560,Rajasthan,2008,Bio-Mass Power,44.08,31.3
561,Rajasthan,2008,Small Hydro Power,44.08,23.85
562,Rajasthan,2008,Solar Power,44.08,0.15
563,Rajasthan,2008,Waste to Energy,44.08,0.0
564,Rajasthan,2008,Wind Power,44.08,738.4
565,Rajasthan,2009,Bio-Mass Power,42.3,31.3
566,Rajasthan,2009,Small Hydro Power,42.3,23.85
567,Rajasthan,2009,Solar Power,42.3,0.15
568,Rajasthan,2009,Waste to Energy,42.3,0.0
569,Rajasthan,2009,Wind Power,42.3,1088.3
570,Rajasthan,2010,Bio-Mass Power,45.97,73.3
571,Rajasthan,2010,Small Hydro Power,45.97,23.85
572,Rajasthan,2010,Solar Power,45.97,5.15
573,Rajasthan,2010,Waste to Energy,45.97,0.0
574,Rajasthan,2010,Wind Power,45.97,1525.0
575,Rajasthan,2011,Bio-Mass Power,41.14,83.3
576,Rajasthan,2011,Small Hydro Power,41.14,23.85
577,Rajasthan,2011,Solar Power,41.14,197.65
578,Rajasthan,2011,Waste to Energy,41.14,0.0
579,Rajasthan,2011,Wind Power,41.14,2070.65
580,Rajasthan,2012,Bio-Mass Power,8.57,91.3
581,Rajasthan,2012,Small Hydro Power,8.57,23.85
582,Rajasthan,2012,Solar Power,8.57,552.9
583,Rajasthan,2012,Waste to Energy,8.57,0.0
584,Rajasthan,2012,Wind Power,8.57,2684.65
585,Rajasthan,2013,Bio-Mass Power,44.66,101.3
586,Rajasthan,2013,Small Hydro Power,44.66,23.85
587,Rajasthan,2013,Solar Power,44.66,730.1
588,Rajasthan,2013,Waste to Energy,44.66,0.0
589,Rajasthan,2013,Wind Power,44.66,2784.9
590,Rajasthan,2014,Bio-Mass Power,23.02,111.3
591,Rajasthan,2014,Small Hydro Power,23.02,23.85
592,Rajasthan,2014,Solar Power,23.02,942.1
593,Rajasthan,2014,Waste to Energy,23.02,0.0
594,Rajasthan,2014,Wind Power,23.02,3309.0
595,Rajasthan,2015,Bio-Mass Power,15.6,108.3
596,Rajasthan,2015,Small Hydro Power,15.6,23.85
597,Rajasthan,2015,Solar Power,15.6,1269.93
598,Rajasthan,2015,Waste to Energy,15.6,0.0
599,Rajasthan,2015,Wind Power,15.6,3993.95
600,Rajasthan,2016,Bio-Mass Power,0.0,119.3
601,Rajasthan,2016,Small Hydro Power,0.0,23.85
602,Rajasthan,2016,Solar Power,0.0,1812.93
603,Rajasthan,2016,Waste to Energy,0.0,0.0
604,Rajasthan,2016,Wind Power,0.0,4281.72
605,Rajasthan,2017,Bio-Mass Power,13.22,121.3
606,Rajasthan,2017,Small Hydro Power,13.22,23.85
607,Rajasthan,2017,Solar Power,13.22,2332.77
608,Rajasthan,2017,Waste to Energy,13.22,0.0
609,Rajasthan,2017,Wind Power,13.22,4297.72
610,Rajasthan,2018,Bio-Mass Power,24.91,121.3
611,Rajasthan,2018,Small Hydro Power,24.91,23.85
612,Rajasthan,2018,Solar Power,24.91,3226.79
613,Rajasthan,2018,Waste to Energy ,24.91,0.0
614,Rajasthan,2018,Wind Power,24.91,4299.72
615,Rajasthan,2019,Bio-Mass Power,6.5,121.3
616,Rajasthan,2019,Small Hydro Power,6.5,23.85
617,Rajasthan,2019,Solar Power,6.5,5137.91
618,Rajasthan,2019,Waste to Energy ,6.5,0.0
619,Rajasthan,2019,Wind Power,6.5,4299.72
620,Rajasthan,2020,Bio-Mass Power,63.83,121.25
621,Rajasthan,2020,Small Hydro Power,63.83,23.85
622,Rajasthan,2020,Solar Power,63.83,5925.6
623,Rajasthan,2020,Waste to Energy ,63.83,3.83
624,Rajasthan,2020,Wind Power,63.83,4326.82
625,Rajasthan,2021,Bio-Mass Power,63.83,121.25
626,Rajasthan,2021,Small Hydro Power,63.83,23.85
627,Rajasthan,2021,Solar Power,63.83,12564.87
628,Rajasthan,2021,Waste to Energy ,63.83,3.83
629,Rajasthan,2021,Wind Power,63.83,4326.82
630,Uttar Pradesh,2006,Bio-Mass Power,0.0,121.5
631,Uttar Pradesh,2006,Small Hydro Power,0.0,25.1
632,Uttar Pradesh,2006,Solar Power,0.0,0.38
633,Uttar Pradesh,2006,Waste to Energy,0.0,5.0
634,Uttar Pradesh,2006,Wind Power,0.0,0.0
635,Uttar Pradesh,2007,Bio-Mass Power,74.47,200.5
636,Uttar Pradesh,2007,Small Hydro Power,74.47,25.1
637,Uttar Pradesh,2007,Solar Power,74.47,0.38
638,Uttar Pradesh,2007,Waste to Energy,74.47,5.0
639,Uttar Pradesh,2007,Wind Power,74.47,0.0
640,Uttar Pradesh,2008,Bio-Mass Power,48.26,372.5
641,Uttar Pradesh,2008,Small Hydro Power,48.26,25.1
642,Uttar Pradesh,2008,Solar Power,48.26,0.38
643,Uttar Pradesh,2008,Waste to Energy,48.26,5.0
644,Uttar Pradesh,2008,Wind Power,48.26,0.0
645,Uttar Pradesh,2009,Bio-Mass Power,4.27,567.0
646,Uttar Pradesh,2009,Small Hydro Power,4.27,25.1
647,Uttar Pradesh,2009,Solar Power,4.27,0.38
648,Uttar Pradesh,2009,Waste to Energy,4.27,5.0
649,Uttar Pradesh,2009,Wind Power,4.27,0.0
650,Uttar Pradesh,2010,Bio-Mass Power,10.27,592.5
651,Uttar Pradesh,2010,Small Hydro Power,10.27,25.1
652,Uttar Pradesh,2010,Solar Power,10.27,0.38
653,Uttar Pradesh,2010,Waste to Energy,10.27,5.0
654,Uttar Pradesh,2010,Wind Power,10.27,0.0
655,Uttar Pradesh,2011,Bio-Mass Power,19.94,644.5
656,Uttar Pradesh,2011,Small Hydro Power,19.94,25.1
657,Uttar Pradesh,2011,Solar Power,19.94,12.38
658,Uttar Pradesh,2011,Waste to Energy,19.94,5.0
659,Uttar Pradesh,2011,Wind Power,19.94,0.0
660,Uttar Pradesh,2012,Bio-Mass Power,0.45,776.5
661,Uttar Pradesh,2012,Small Hydro Power,0.45,25.1
662,Uttar Pradesh,2012,Solar Power,0.45,17.38
663,Uttar Pradesh,2012,Waste to Energy,0.45,5.0
664,Uttar Pradesh,2012,Wind Power,0.45,0.0
665,Uttar Pradesh,2013,Bio-Mass Power,27.9,776.5
666,Uttar Pradesh,2013,Small Hydro Power,27.9,25.1
667,Uttar Pradesh,2013,Solar Power,27.9,21.08
668,Uttar Pradesh,2013,Waste to Energy,27.9,5.0
669,Uttar Pradesh,2013,Wind Power,27.9,0.0
670,Uttar Pradesh,2014,Bio-Mass Power,5.43,888.5
671,Uttar Pradesh,2014,Small Hydro Power,5.43,25.1
672,Uttar Pradesh,2014,Solar Power,5.43,71.26
673,Uttar Pradesh,2014,Waste to Energy,5.43,5.0
674,Uttar Pradesh,2014,Wind Power,5.43,0.0
675,Uttar Pradesh,2015,Bio-Mass Power,120.38,870.0
676,Uttar Pradesh,2015,Small Hydro Power,120.38,25.1
677,Uttar Pradesh,2015,Solar Power,120.38,143.5
678,Uttar Pradesh,2015,Waste to Energy,120.38,5.0
679,Uttar Pradesh,2015,Wind Power,120.38,0.0
680,Uttar Pradesh,2016,Bio-Mass Power,0.0,1933.0
681,Uttar Pradesh,2016,Small Hydro Power,0.0,25.1
682,Uttar Pradesh,2016,Solar Power,0.0,336.73
683,Uttar Pradesh,2016,Waste to Energy,0.0,5.0
684,Uttar Pradesh,2016,Wind Power,0.0,0.0
685,Uttar Pradesh,2017,Bio-Mass Power,9.37,2115.51
686,Uttar Pradesh,2017,Small Hydro Power,9.37,25.1
687,Uttar Pradesh,2017,Solar Power,9.37,694.41
688,Uttar Pradesh,2017,Waste to Energy,9.37,0.0
689,Uttar Pradesh,2017,Wind Power,9.37,0.0
690,Uttar Pradesh,2018,Bio-Mass Power,4.35,2115.51
691,Uttar Pradesh,2018,Small Hydro Power,4.35,25.1
692,Uttar Pradesh,2018,Solar Power,4.35,960.1
693,Uttar Pradesh,2018,Waste to Energy ,4.35,0.0
694,Uttar Pradesh,2018,Wind Power,4.35,0.0
695,Uttar Pradesh,2019,Bio-Mass Power,19.9,2115.51
696,Uttar Pradesh,2019,Small Hydro Power,19.9,25.1
697,Uttar Pradesh,2019,Solar Power,19.9,1095.1
698,Uttar Pradesh,2019,Waste to Energy ,19.9,0.0
699,Uttar Pradesh,2019,Wind Power,19.9,0.0
700,Uttar Pradesh,2020,Bio-Mass Power,10.39,2117.26
701,Uttar Pradesh,2020,Small Hydro Power,10.39,49.1
702,Uttar Pradesh,2020,Solar Power,10.39,1836.27
703,Uttar Pradesh,2020,Waste to Energy ,10.39,58.84
704,Uttar Pradesh,2020,Wind Power,10.39,0.0
705,Uttar Pradesh,2021,Bio-Mass Power,10.39,2117.26
706,Uttar Pradesh,2021,Small Hydro Power,10.39,49.1
707,Uttar Pradesh,2021,Solar Power,10.39,2244.43
708,Uttar Pradesh,2021,Waste to Energy ,10.39,72.73
709,Uttar Pradesh,2021,Wind Power,10.39,0.0
710,Bihar,2006,Bio-Mass Power,0.0,0.0
711,Bihar,2006,Small Hydro Power,0.0,50.4
712,Bihar,2006,Solar Power,0.0,0.0
713,Bihar,2006,Waste to Energy,0.0,0.0
714,Bihar,2006,Wind Power,0.0,0.0
715,Bihar,2007,Bio-Mass Power,8.33,0.0
716,Bihar,2007,Small Hydro Power,8.33,50.4
717,Bihar,2007,Solar Power,8.33,0.0
718,Bihar,2007,Waste to Energy,8.33,0.0
719,Bihar,2007,Wind Power,8.33,0.0
720,Bihar,2008,Bio-Mass Power,0.0,0.0
721,Bihar,2008,Small Hydro Power,0.0,50.4
722,Bihar,2008,Solar Power,0.0,0.0
723,Bihar,2008,Waste to Energy,0.0,0.0
724,Bihar,2008,Wind Power,0.0,0.0
725,Bihar,2009,Bio-Mass Power,26.92,0.0
726,Bihar,2009,Small Hydro Power,26.92,54.6
727,Bihar,2009,Solar Power,26.92,0.0
728,Bihar,2009,Waste to Energy,26.92,0.0
729,Bihar,2009,Wind Power,26.92,0.0
730,Bihar,2010,Bio-Mass Power,15.15,9.5
731,Bihar,2010,Small Hydro Power,15.15,59.8
732,Bihar,2010,Solar Power,15.15,0.0
733,Bihar,2010,Waste to Energy,15.15,0.0
734,Bihar,2010,Wind Power,15.15,0.0
735,Bihar,2011,Bio-Mass Power,42.86,15.5
736,Bihar,2011,Small Hydro Power,42.86,64.3
737,Bihar,2011,Solar Power,42.86,0.0
738,Bihar,2011,Waste to Energy,42.86,0.0
739,Bihar,2011,Wind Power,42.86,0.0
740,Bihar,2012,Bio-Mass Power,0.11,43.3
741,Bihar,2012,Small Hydro Power,0.11,70.7
742,Bihar,2012,Solar Power,0.11,0.0
743,Bihar,2012,Waste to Energy,0.11,0.0
744,Bihar,2012,Wind Power,0.11,0.0
745,Bihar,2013,Bio-Mass Power,0.0,0.0
746,Bihar,2013,Small Hydro Power,0.0,70.7
747,Bihar,2013,Solar Power,0.0,0.0
748,Bihar,2013,Waste to Energy,0.0,0.0
749,Bihar,2013,Wind Power,0.0,0.0
750,Bihar,2014,Bio-Mass Power,4.47,43.42
751,Bihar,2014,Small Hydro Power,4.47,70.7
752,Bihar,2014,Solar Power,4.47,0.0
753,Bihar,2014,Waste to Energy,4.47,0.0
754,Bihar,2014,Wind Power,4.47,0.0
755,Bihar,2015,Bio-Mass Power,145.11,43.42
756,Bihar,2015,Small Hydro Power,145.11,70.7
757,Bihar,2015,Solar Power,145.11,5.1
758,Bihar,2015,Waste to Energy,145.11,0.0
759,Bihar,2015,Wind Power,145.11,0.0
760,Bihar,2016,Bio-Mass Power,0.0,113.0
761,Bihar,2016,Small Hydro Power,0.0,70.7
762,Bihar,2016,Solar Power,0.0,108.52
763,Bihar,2016,Waste to Energy,0.0,0.0
764,Bihar,2016,Wind Power,0.0,0.0
765,Bihar,2017,Bio-Mass Power,0.0,121.2
766,Bihar,2017,Small Hydro Power,0.0,70.7
767,Bihar,2017,Solar Power,0.0,142.45
768,Bihar,2017,Waste to Energy,0.0,0.0
769,Bihar,2017,Wind Power,0.0,0.0
770,Bihar,2018,Bio-Mass Power,2.73,121.2
771,Bihar,2018,Small Hydro Power,2.73,70.7
772,Bihar,2018,Solar Power,2.73,142.45
773,Bihar,2018,Waste to Energy ,2.73,0.0
774,Bihar,2018,Wind Power,2.73,0.0
775,Bihar,2019,Bio-Mass Power,3.3,121.2
776,Bihar,2019,Small Hydro Power,3.3,70.7
777,Bihar,2019,Solar Power,3.3,151.57
778,Bihar,2019,Waste to Energy ,3.3,0.0
779,Bihar,2019,Wind Power,3.3,0.0
780,Bihar,2020,Bio-Mass Power,2.85,124.7
781,Bihar,2020,Small Hydro Power,2.85,70.7
782,Bihar,2020,Solar Power,2.85,180.23
783,Bihar,2020,Waste to Energy ,2.85,1.0
784,Bihar,2020,Wind Power,2.85,0.0
785,Bihar,2021,Bio-Mass Power,2.85,124.7
786,Bihar,2021,Small Hydro Power,2.85,70.7
787,Bihar,2021,Solar Power,2.85,190.63
788,Bihar,2021,Waste to Energy ,2.85,1.32
789,Bihar,2021,Wind Power,2.85,0.0
790,Sikkim,2006,Bio-Mass Power,0.0,0.0
791,Sikkim,2006,Small Hydro Power,0.0,39.11
792,Sikkim,2006,Solar Power,0.0,0.0
793,Sikkim,2006,Waste to Energy,0.0,0.0
794,Sikkim,2006,Wind Power,0.0,0.0
795,Sikkim,2007,Bio-Mass Power,20.46,0.0
796,Sikkim,2007,Small Hydro Power,20.46,39.11
797,Sikkim,2007,Solar Power,20.46,0.0
798,Sikkim,2007,Waste to Energy,20.46,0.0
799,Sikkim,2007,Wind Power,20.46,0.0
800,Sikkim,2008,Bio-Mass Power,0.0,0.0
801,Sikkim,2008,Small Hydro Power,0.0,39.11
802,Sikkim,2008,Solar Power,0.0,0.0
803,Sikkim,2008,Waste to Energy,0.0,0.0
804,Sikkim,2008,Wind Power,0.0,0.0
805,Sikkim,2009,Bio-Mass Power,10.61,0.0
806,Sikkim,2009,Small Hydro Power,10.61,47.11
807,Sikkim,2009,Solar Power,10.61,0.0
808,Sikkim,2009,Waste to Energy,10.61,0.0
809,Sikkim,2009,Wind Power,10.61,0.0
810,Sikkim,2010,Bio-Mass Power,0.0,0.0
811,Sikkim,2010,Small Hydro Power,0.0,52.11
812,Sikkim,2010,Solar Power,0.0,0.0
813,Sikkim,2010,Waste to Energy,0.0,0.0
814,Sikkim,2010,Wind Power,0.0,0.0
815,Sikkim,2011,Bio-Mass Power,0.0,0.0
816,Sikkim,2011,Small Hydro Power,0.0,52.11
817,Sikkim,2011,Solar Power,0.0,0.0
818,Sikkim,2011,Waste to Energy,0.0,0.0
819,Sikkim,2011,Wind Power,0.0,0.0
820,Sikkim,2012,Bio-Mass Power,0.0,0.0
821,Sikkim,2012,Small Hydro Power,0.0,52.11
822,Sikkim,2012,Solar Power,0.0,0.0
823,Sikkim,2012,Waste to Energy,0.0,0.0
824,Sikkim,2012,Wind Power,0.0,0.0
825,Sikkim,2013,Bio-Mass Power,0.0,0.0
826,Sikkim,2013,Small Hydro Power,0.0,52.11
827,Sikkim,2013,Solar Power,0.0,0.0
828,Sikkim,2013,Waste to Energy,0.0,0.0
829,Sikkim,2013,Wind Power,0.0,0.0
830,Sikkim,2014,Bio-Mass Power,0.0,0.0
831,Sikkim,2014,Small Hydro Power,0.0,52.11
832,Sikkim,2014,Solar Power,0.0,0.0
833,Sikkim,2014,Waste to Energy,0.0,0.0
834,Sikkim,2014,Wind Power,0.0,0.0
835,Sikkim,2015,Bio-Mass Power,0.0,0.0
836,Sikkim,2015,Small Hydro Power,0.0,52.11
837,Sikkim,2015,Solar Power,0.0,0.0
838,Sikkim,2015,Waste to Energy,0.0,0.0
839,Sikkim,2015,Wind Power,0.0,0.0
840,Sikkim,2016,Bio-Mass Power,0.0,0.0
841,Sikkim,2016,Small Hydro Power,0.0,52.11
842,Sikkim,2016,Solar Power,0.0,0.0
843,Sikkim,2016,Waste to Energy,0.0,0.0
844,Sikkim,2016,Wind Power,0.0,0.0
845,Sikkim,2017,Bio-Mass Power,0.02,0.0
846,Sikkim,2017,Small Hydro Power,0.02,52.11
847,Sikkim,2017,Solar Power,0.02,0.0
848,Sikkim,2017,Waste to Energy,0.02,0.0
849,Sikkim,2017,Wind Power,0.02,0.0
850,Sikkim,2018,Bio-Mass Power,0.12,0.0
851,Sikkim,2018,Small Hydro Power,0.12,52.11
852,Sikkim,2018,Solar Power,0.12,0.01
853,Sikkim,2018,Waste to Energy ,0.12,0.0
854,Sikkim,2018,Wind Power,0.12,0.0
855,Sikkim,2019,Bio-Mass Power,0.0,0.0
856,Sikkim,2019,Small Hydro Power,0.0,52.11
857,Sikkim,2019,Solar Power,0.0,0.07
858,Sikkim,2019,Waste to Energy ,0.0,0.0
859,Sikkim,2019,Wind Power,0.0,0.0
860,Sikkim,2020,Bio-Mass Power,5.07,0.0
861,Sikkim,2020,Small Hydro Power,5.07,52.11
862,Sikkim,2020,Solar Power,5.07,1.94
863,Sikkim,2020,Waste to Energy ,5.07,0.0
864,Sikkim,2020,Wind Power,5.07,0.0
865,Sikkim,2021,Bio-Mass Power,5.07,0.0
866,Sikkim,2021,Small Hydro Power,5.07,52.11
867,Sikkim,2021,Solar Power,5.07,4.68
868,Sikkim,2021,Waste to Energy ,5.07,0.0
869,Sikkim,2021,Wind Power,5.07,0.0
870,Arunachal Pradesh,2006,Bio-Mass Power,0.0,0.0
871,Arunachal Pradesh,2006,Small Hydro Power,0.0,45.24
872,Arunachal Pradesh,2006,Solar Power,0.0,0.02
873,Arunachal Pradesh,2006,Waste to Energy,0.0,0.0
874,Arunachal Pradesh,2006,Wind Power,0.0,0.0
875,Arunachal Pradesh,2007,Bio-Mass Power,35.53,0.0
876,Arunachal Pradesh,2007,Small Hydro Power,35.53,45.24
877,Arunachal Pradesh,2007,Solar Power,35.53,0.02
878,Arunachal Pradesh,2007,Waste to Energy,35.53,0.0
879,Arunachal Pradesh,2007,Wind Power,35.53,0.0
880,Arunachal Pradesh,2008,Bio-Mass Power,19.73,0.0
881,Arunachal Pradesh,2008,Small Hydro Power,19.73,45.24
882,Arunachal Pradesh,2008,Solar Power,19.73,0.02
883,Arunachal Pradesh,2008,Waste to Energy,19.73,0.0
884,Arunachal Pradesh,2008,Wind Power,19.73,0.0
885,Arunachal Pradesh,2009,Bio-Mass Power,7.39,0.0
886,Arunachal Pradesh,2009,Small Hydro Power,7.39,73.42
887,Arunachal Pradesh,2009,Solar Power,7.39,0.03
888,Arunachal Pradesh,2009,Waste to Energy,7.39,0.0
889,Arunachal Pradesh,2009,Wind Power,7.39,136.1
890,Arunachal Pradesh,2010,Bio-Mass Power,0.49,0.0
891,Arunachal Pradesh,2010,Small Hydro Power,0.49,78.84
892,Arunachal Pradesh,2010,Solar Power,0.49,0.03
893,Arunachal Pradesh,2010,Waste to Energy,0.49,0.0
894,Arunachal Pradesh,2010,Wind Power,0.49,0.0
895,Arunachal Pradesh,2011,Bio-Mass Power,31.13,0.0
896,Arunachal Pradesh,2011,Small Hydro Power,31.13,79.23
897,Arunachal Pradesh,2011,Solar Power,31.13,0.03
898,Nagaland,2017,Wind Power,0.0,0.0
899,Arunachal Pradesh,2011,Waste to Energy,31.13,0.0
900,Arunachal Pradesh,2011,Wind Power,31.13,0.0
901,Arunachal Pradesh,2012,Bio-Mass Power,0.0,0.0
902,Arunachal Pradesh,2012,Small Hydro Power,0.0,103.91
903,Arunachal Pradesh,2012,Solar Power,0.0,0.03
904,Arunachal Pradesh,2012,Waste to Energy,0.0,0.0
905,Arunachal Pradesh,2012,Wind Power,0.0,0.0
906,Arunachal Pradesh,2013,Bio-Mass Power,0.9,0.0
907,Arunachal Pradesh,2013,Small Hydro Power,0.9,103.91
908,Arunachal Pradesh,2013,Solar Power,0.9,0.03
909,Arunachal Pradesh,2013,Waste to Energy,0.9,0.0
910,Arunachal Pradesh,2013,Wind Power,0.9,0.0
911,Arunachal Pradesh,2014,Bio-Mass Power,0.23,0.0
912,Arunachal Pradesh,2014,Small Hydro Power,0.23,104.61
913,Arunachal Pradesh,2014,Solar Power,0.23,0.03
914,Arunachal Pradesh,2014,Waste to Energy,0.23,0.0
915,Arunachal Pradesh,2014,Wind Power,0.23,0.0
916,Arunachal Pradesh,2015,Bio-Mass Power,0.0,0.0
917,Arunachal Pradesh,2015,Small Hydro Power,0.0,104.61
918,Arunachal Pradesh,2015,Solar Power,0.0,0.27
919,Arunachal Pradesh,2015,Waste to Energy,0.0,0.0
920,Arunachal Pradesh,2015,Wind Power,0.0,0.0
921,Arunachal Pradesh,2016,Bio-Mass Power,0.0,0.0
922,Arunachal Pradesh,2016,Small Hydro Power,0.0,104.61
923,Arunachal Pradesh,2016,Solar Power,0.0,0.27
924,Arunachal Pradesh,2016,Waste to Energy,0.0,0.0
925,Arunachal Pradesh,2016,Wind Power,0.0,0.0
926,Arunachal Pradesh,2017,Bio-Mass Power,24.09,0.0
927,Arunachal Pradesh,2017,Small Hydro Power,24.09,104.61
928,Arunachal Pradesh,2017,Solar Power,24.09,5.39
929,Arunachal Pradesh,2017,Waste to Energy,24.09,0.0
930,Arunachal Pradesh,2017,Wind Power,24.09,0.0
931,Arunachal Pradesh,2018,Bio-Mass Power,0.16,0.0
932,Arunachal Pradesh,2018,Small Hydro Power,0.16,131.11
933,Arunachal Pradesh,2018,Solar Power,0.16,5.39
934,Arunachal Pradesh,2018,Waste to Energy ,0.16,0.0
935,Arunachal Pradesh,2018,Wind Power,0.16,0.0
936,Arunachal Pradesh,2019,Bio-Mass Power,0.0,0.0
937,Arunachal Pradesh,2019,Small Hydro Power,0.0,131.11
938,Arunachal Pradesh,2019,Solar Power,0.0,5.61
939,Arunachal Pradesh,2019,Waste to Energy ,0.0,0.0
940,Arunachal Pradesh,2019,Wind Power,0.0,0.0
941,Arunachal Pradesh,2020,Bio-Mass Power,0.76,0.0
942,Arunachal Pradesh,2020,Small Hydro Power,0.76,131.11
943,Arunachal Pradesh,2020,Solar Power,0.76,10.16
944,Arunachal Pradesh,2020,Waste to Energy ,0.76,0.0
945,Arunachal Pradesh,2020,Wind Power,0.76,0.0
946,Arunachal Pradesh,2021,Bio-Mass Power,0.76,0.0
947,Arunachal Pradesh,2021,Small Hydro Power,0.76,131.11
948,Arunachal Pradesh,2021,Solar Power,0.76,11.23
949,Arunachal Pradesh,2021,Waste to Energy ,0.76,0.0
950,Arunachal Pradesh,2021,Wind Power,0.76,0.0
951,Nagaland,2006,Bio-Mass Power,0.0,0.0
952,Nagaland,2006,Small Hydro Power,0.0,20.67
953,Nagaland,2006,Solar Power,0.0,0.0
954,Nagaland,2006,Waste to Energy,0.0,0.0
955,Nagaland,2006,Wind Power,0.0,0.0
956,Nagaland,2007,Bio-Mass Power,0.0,0.0
957,Nagaland,2007,Small Hydro Power,0.0,28.67
958,Nagaland,2007,Solar Power,0.0,0.0
959,Nagaland,2007,Waste to Energy,0.0,0.0
960,Nagaland,2007,Wind Power,0.0,0.0
961,Nagaland,2008,Bio-Mass Power,0.0,0.0
962,Nagaland,2008,Small Hydro Power,0.0,28.67
963,Nagaland,2008,Solar Power,0.0,0.0
964,Nagaland,2008,Waste to Energy,0.0,0.0
965,Nagaland,2008,Wind Power,0.0,0.0
966,Nagaland,2009,Bio-Mass Power,0.0,0.0
967,Nagaland,2009,Small Hydro Power,0.0,28.67
968,Nagaland,2009,Solar Power,0.0,0.0
969,Nagaland,2009,Waste to Energy,0.0,0.0
970,Nagaland,2009,Wind Power,0.0,0.0
971,Nagaland,2010,Bio-Mass Power,0.0,0.0
972,Nagaland,2010,Small Hydro Power,0.0,28.67
973,Nagaland,2010,Solar Power,0.0,0.0
974,Nagaland,2010,Waste to Energy,0.0,0.0
975,Nagaland,2010,Wind Power,0.0,0.0
976,Nagaland,2011,Bio-Mass Power,0.0,0.0
977,Nagaland,2011,Small Hydro Power,0.0,28.67
978,Nagaland,2011,Solar Power,0.0,0.0
979,Nagaland,2011,Waste to Energy,0.0,0.0
980,Nagaland,2011,Wind Power,0.0,0.0
981,Nagaland,2012,Bio-Mass Power,3.49,0.0
982,Nagaland,2012,Small Hydro Power,3.49,28.67
983,Nagaland,2012,Solar Power,3.49,0.0
